Index	GEO_Accession	Dataset_Key	Organism	Data_Source	Description	N_Cells	Split
1	GSE103867	GSE103867_geodh	Homo sapiens	GEO-DataHub	Single-cell RNA sequencing dataset from GEO series GSE103867 (Homo sapiens)	2787	Val
2	GSE110686	GSE110686_geodh	Homo sapiens	GEO-DataHub	Single-cell RNA sequencing dataset from GEO series GSE110686 (Homo sapiens)	2992	Train
3	GSE115571	GSE115571_LPSMmDev	Mus musculus	Local h5ad	Single-cell RNA sequencing of mouse cells under lipopolysaccharide (LPS) stimulation	442	Train
4	GSE117988	GSE117988_MCCPBMCCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of peripheral blood mononuclear cells (PBMCs) from patients with Merkel cell carcinoma (MCC)	2638	Train
5	GSE117988	GSE117988_MCCTumorCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of Merkel cell carcinoma (MCC) tumor tissue	2990	Train
6	GSE120505	GSE120505_bloodAged	Homo sapiens	Local h5ad	Single-cell RNA sequencing of aged blood cells	3000	Train
7	GSE123813	GSE123813_bccHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human basal cell carcinoma (BCC) skin tumor samples	3000	Train
8	GSE123813	GSE123813_sccHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human cutaneous squamous cell carcinoma (SCC)	3000	Train
9	GSE123902	GSE123902_LungAdreHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human lung adenocarcinoma	2753	Train
10	GSE124310	GSE124310_MMHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human multiple myeloma (MM) bone marrow samples	2833	Train
11	GSE130148	GSE130148_LungHmDev	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human fetal lung during development	3000	Train
12	GSE132509	GSE132509_acutelymluekPBMCHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of bone marrow mononuclear cells from human pediatric patients with acute lymphoblastic leukemia (ALL)	2984	Train
13	GSE138709	GSE138709_LiverCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human intrahepatic cholangiocarcinoma (ICC)	2891	Train
14	GSE142653	GSE142653pitHmDev	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human pituitary gland during development	2885	Train
15	GSE143423	GSE143423_lbm_CancerBrainHm	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human leptomeningeal brain metastasis	3000	Train
16	GSE143423	GSE143423_tnbc_CancerBrainHm	Homo sapiens	Local h5ad	Single-cell RNA sequencing of brain metastases originating from human triple-negative breast cancer (TNBC)	2332	Train
17	GSE145929	GSE145929_ProgastinMmDev	Mus musculus	Local h5ad	Single-cell RNA sequencing of adult mouse prostate tissue	2830	Train
18	GSE145929	GSE145929_UrineMmDev	Mus musculus	Local h5ad	Single-cell RNA sequencing of adult mouse urethra	2745	Train
19	GSE148218	GSE148218_bmALLHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human bone marrow samples from patients with acute lymphoblastic leukemia (ALL)	2807	Train
20	GSE149655	GSE149655_CAHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human early-stage lung adenocarcinoma with activating somatic KRAS mutations	2087	Train
21	GSE155109	GSE155109_bcECHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of endothelial cells isolated from human breast cancer tumors	3000	Train
22	GSE155109	GSE155109_bcStromaHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of stromal cells from human breast cancer tissue	3000	Train
23	GSE163558	GSE163558_stomachHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human stomach cancer	2467	Train
24	GSE165784	GSE165784_RetinaHmDev	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human retina during development	2622	Train
25	GSE165844	GSE165844_LSKMmBatch	Mus musculus	Local h5ad	Single-cell RNA sequencing of mouse Lin-Sca-1+c-Kit+ (LSK) hematopoietic stem and progenitor cells	2881	Train
26	GSE167597	GSE167597_spineMm	Mus musculus	Local h5ad	Single-cell RNA sequencing of mouse spinal cord during development	3000	Val
27	GSE168181	GSE168181_BreastHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human breast cancer tissue	2863	Train
28	GSE175975	GSE175975_geodh	Homo sapiens	GEO-DataHub	Single-cell RNA sequencing dataset from GEO series GSE175975 (Homo sapiens)	2728	Train
29	GSE183904	GSE183904_GastricHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human gastric cancer (stomach adenocarcinoma)	3000	Val
30	GSE189070	GSE189070_astrocytesSCIMmDev	Mus musculus	Local h5ad	Single-cell RNA sequencing of mouse astrocytes following spinal cord injury (SCI)	2960	Train
31	GSE189357	GSE189357_lungAdreHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human lung adenocarcinoma	2886	Train
