group_id,cell_type,training_count,log10_training_count,n_real,n_gen,centroid_cosine,frechet_distance,diversity_ratio,expr_pearson_r
68,Kidney proximal tubule cells,77,1.8864907251724818,77,100,0.7688666582107544,1.1821981922987943,1.1657873392105103,0.9999338388442993
67,Pericytes and mural cells,138,2.1398790864012365,138,100,0.8955007791519165,0.9761992936157347,1.095546007156372,0.9999778270721436
66,Myoepithelial and basal cells,242,2.383815365980431,242,100,0.9019686579704285,0.8761107168789766,1.0526587963104248,0.9999889731407166
65,Pituitary thyrotroph cells,295,2.469822015978163,295,100,0.9288837909698486,1.011731436016455,0.9722157716751099,0.9999599456787109
64,Ameloblasts,384,2.584331224367531,384,100,0.9110583662986755,1.1486210568693749,0.9417234063148499,0.9999642968177795
63,Mesenchymal stem and stromal cells (MSCs),394,2.595496221825574,394,100,0.9048857688903809,1.0315116737613559,,0.9999846816062927
62,Pituitary gonadotroph cells,396,2.597695185925512,396,100,0.9303374886512756,1.0873011651793207,0.9715214967727661,0.9999837875366211
61,Pancreatic delta cells,489,2.6893088591236203,489,100,0.8957348465919495,1.1235523900306155,0.9237257242202759,0.9999296069145203
60,Conventional dendritic cells,492,2.6919651027673606,492,100,0.9281350374221802,1.0146828726014432,0.9414231181144714,0.9999804496765137
59,Dorsal horn sensory neurons,656,2.8169038393756605,656,100,0.7460094094276428,1.107503045889232,0.8063274025917053,0.9999656081199646
58,Oligodendrocyte precursor cells (OPCs),669,2.8254261177678233,669,100,0.9557340741157532,0.8874075261454064,1.0094892978668213,0.9999878406524658
57,Lower motor neurons,673,2.828015064223977,673,100,0.9638293981552124,0.9112599707665922,0.9223068356513977,0.9999211430549622
56,Melanocytes,713,2.8530895298518657,713,100,0.931825578212738,1.0518999353450147,0.9764857292175293,0.9999709129333496
55,Neuroendocrine cells,727,2.8615344108590377,727,100,0.9245464205741882,1.0443217865672727,0.8622847199440002,0.9999584555625916
54,Mast cells,853,2.930949031167523,853,100,0.92298424243927,1.0213866267367386,0.8541844487190247,0.9999710917472839
53,Lymphatic endothelial cells,887,2.9479236198317262,887,100,0.9379585981369019,1.0354333748937186,0.9215081930160522,0.9999864101409912
52,Multiciliated epithelial cells,935,2.9708116108725178,935,100,0.966721773147583,0.9391249142998666,0.9103947877883911,0.9999893307685852
51,Megakaryocytes,967,2.9854264740830017,967,100,0.915176272392273,1.1432044476957888,0.964428722858429,0.9999790787696838
50,Intermediate neural progenitors (INPs),970,2.9867717342662448,970,100,0.9480822086334229,0.9586156251314502,0.9768679738044739,0.9999555945396423
49,Oligodendrocytes,1002,3.000867721531227,1002,100,0.9498991370201111,1.0424914092542745,0.9423054456710815,0.9999746680259705
48,Plasmacytoid dendritic cells (pDCs),1032,3.0136796972911926,1032,100,0.9533857703208923,1.016008844890307,0.9382144808769226,0.9999810457229614
47,Retinal ganglion cells,1074,3.0310042813635367,1074,100,0.8830581903457642,1.0587623969114155,0.8883460164070129,0.9999277591705322
46,Inhibitory GABAergic neurons,1149,3.060320028688285,1149,100,0.39407798647880554,1.238838455327981,0.9997142553329468,0.9999234676361084
45,Pluripotent stem cells (embryonic stem cells and induced pluripotent stem cells),1170,3.0681858617461617,1170,100,0.9415566921234131,1.0647761862936997,,0.9999447464942932
44,Spinal cord interneurons,1220,3.0863598306747484,1220,100,0.8069390654563904,1.1596363213868184,0.9355648159980774,0.9999285340309143
